cartodb_id,the_geom,field_1,centroid,lat,long,count,source_cartodb_id,source_field_1
4037,0101000020E610000077D9AF3B5D7C52C0BADC3F9A5A5B4440,bwyannn,POINT,40.71370247,-73.9431905,9,1,bk
4048,0101000020E61000000E2E809D997D52C00DA8D4782B5C4440,MurphyBellaNYC,POINT,40.72007666,-73.96250093,9,1,bk
4094,0101000020E61000005461E0775B7B52C0348143241A5B4440,mug0dx,POINT,40.71173528,-73.92745778,9,1,bk
4096,0101000020E610000088DFC97E487C52C01AD533CE705A4440,SeanMartinez26,POINT,40.70656755,-73.94192476,9,1,bk
4120,0101000020E61000003D19B1892B7C52C08BB67416075A4440,TrevonePerry,POINT,40.7033413,-73.94015734,9,1,bk
4137,0101000020E61000009B1008AE517D52C036834B09B95B4440,katologic,POINT,40.71658436,-73.95811034,9,1,bk
4145,0101000020E6100000A496DEE5FF7852C0FD3F1C5E6F544440,rajrich2,POINT,40.65964867,-73.89061877,9,1,bk
4158,0101000020E6100000A6C24C99E37C52C0F7BC4D45CB5A4440,tone_stfm,POINT,40.70932833,-73.95139153,9,1,bk
4201,0101000020E610000031131CC96B7B52C0C1E9554BD7594440,evakayy,POINT,40.70188276,-73.92845371,9,1,bk
4220,0101000020E610000078140046847C52C0067646A5A25B4440,LyndseyAriel,POINT,40.71590105,-73.94557333,9,1,bk
4222,0101000020E6100000F925C910537B52C088DD14E2D3594440,RyanNewYork,POINT,40.70177866,-73.92694492,9,1,bk
4249,0101000020E610000059FAAFF78B7952C0CEB9E3661B574440,Trae_Say,POINT,40.68052374,-73.89916794,9,1,bk
4266,0101000020E6100000EB2A93D04C7C52C032B04CC7355B4440,dtflinsky,POINT,40.71257869,-73.9421884,8,1,bk
4280,0101000020E610000097AA93B78C7C52C031FF32294F5B4440,boynanza,POINT,40.7133533,-73.94608869,8,1,bk
4289,0101000020E6100000605B9AB61A7B52C0DFD5BCF4C0594440,radrenard,POINT,40.70120105,-73.92350545,8,1,bk
4301,0101000020E61000007F8889DDE97B52C0BBB24D22A95A4440,aymeeleeah,POINT,40.70828656,-73.93614901,8,1,bk
4319,0101000020E6100000114747071E7D52C0FB006A8B675C4440,catalinallee,POINT,40.72190993,-73.95495779,8,1,bk
4375,0101000020E610000073A4F113A07A52C03A47B28153594440,Dvine_One,POINT,40.69786092,-73.91602038,8,1,bk
4383,0101000020E6100000B212F3AC647D52C074ED0BE8055C4440,DjZeke,POINT,40.71893025,-73.95926975,8,1,bk
4407,0101000020E61000008979FB18187D52C010EABF5AF75B4440,SpencerLudwig,POINT,40.71848616,-73.9545958,8,1,bk
4417,0101000020E6100000D178017A8A7952C0B08B685CB4594440,_hellobirdie,POINT,40.70081668,-73.89907694,8,1,bk
4441,0101000020E61000005BD37AC7C27C52C07916CE7F595B4440,kevinjcall,POINT,40.7136688,-73.94938838,8,1,bk
4477,0101000020E6100000770106B4BA7952C0FEEF880AD5584440,3foot78,POINT,40.6940015,-73.90202046,8,1,bk
